dates,eps_estimate,eps_actual,eps_pct_diff,ticker,country,category
2014-01-31,0.82,0.82,-0.46,ABBV,USA,pharmaceuticals
2014-04-25,0.68,0.71,4.41,ABBV,USA,pharmaceuticals
2014-07-25,0.76,0.82,8.18,ABBV,USA,pharmaceuticals
2014-10-31,0.77,0.89,15.19,ABBV,USA,pharmaceuticals
2015-01-30,0.86,0.89,3.94,ABBV,USA,pharmaceuticals
2015-04-23,0.85,0.94,10.2,ABBV,USA,pharmaceuticals
2015-07-24,1.06,1.08,1.96,ABBV,USA,pharmaceuticals
2015-10-30,1.08,1.13,4.75,ABBV,USA,pharmaceuticals
2016-01-29,1.12,1.13,0.76,ABBV,USA,pharmaceuticals
2016-04-28,1.13,1.15,1.51,ABBV,USA,pharmaceuticals
2016-07-29,1.2,1.26,4.98,ABBV,USA,pharmaceuticals
2016-10-28,1.2,1.21,1.05,ABBV,USA,pharmaceuticals
2017-01-27,1.2,1.2,0.39,ABBV,USA,pharmaceuticals
2017-04-27,1.26,1.28,1.44,ABBV,USA,pharmaceuticals
2017-07-28,1.4,1.42,1.53,ABBV,USA,pharmaceuticals
2017-10-27,1.38,1.41,1.81,ABBV,USA,pharmaceuticals
2018-01-26,1.44,1.48,2.9,ABBV,USA,pharmaceuticals
2018-04-26,1.79,1.87,4.3,ABBV,USA,pharmaceuticals
2018-07-27,1.97,2.0,1.36,ABBV,USA,pharmaceuticals
2018-11-02,2.02,2.14,6.18,ABBV,USA,pharmaceuticals
2019-01-25,1.94,1.9,-1.95,ABBV,USA,pharmaceuticals
2019-04-25,2.05,2.14,4.18,ABBV,USA,pharmaceuticals
2019-07-26,2.21,2.26,2.21,ABBV,USA,pharmaceuticals
2019-11-01,2.3,2.33,1.45,ABBV,USA,pharmaceuticals
2020-02-07,2.19,2.21,0.83,ABBV,USA,pharmaceuticals
2020-05-01,2.25,2.42,7.74,ABBV,USA,pharmaceuticals
2020-07-31,2.19,2.34,6.89,ABBV,USA,pharmaceuticals
2020-10-30,2.77,2.83,2.35,ABBV,USA,pharmaceuticals
2021-02-03,2.85,2.92,2.42,ABBV,USA,pharmaceuticals
2021-04-30,2.83,2.95,4.29,ABBV,USA,pharmaceuticals
2021-07-30,3.09,3.09,0.0,ABBV,USA,pharmaceuticals
2021-10-29,3.22,3.33,3.32,ABBV,USA,pharmaceuticals
2022-02-02,3.29,3.31,0.74,ABBV,USA,pharmaceuticals
2022-04-29,3.14,3.24,3.13,ABBV,USA,pharmaceuticals
2022-07-29,3.31,3.37,1.69,ABBV,USA,pharmaceuticals
2022-10-28,3.57,3.66,2.43,ABBV,USA,pharmaceuticals
2023-02-09,3.56,3.6,1.15,ABBV,USA,pharmaceuticals
2023-04-27,2.46,2.46,0.11,ABBV,USA,pharmaceuticals
2023-07-27,2.81,2.91,3.69,ABBV,USA,pharmaceuticals
2023-10-26,2.87,,,ABBV,USA,pharmaceuticals
2024-02-07,,,,ABBV,USA,pharmaceuticals
2024-04-25,,,,ABBV,USA,pharmaceuticals
2024-07-25,,,,ABBV,USA,pharmaceuticals
2020-12-14,,,,ABCL,Canada,pharmaceuticals
2021-03-29,0.61,0.44,-27.87,ABCL,Canada,pharmaceuticals
2021-05-13,0.38,0.37,-2.18,ABCL,Canada,pharmaceuticals
2021-08-12,0.08,-0.01,-112.86,ABCL,Canada,pharmaceuticals
2021-11-09,-0.05,-0.08,-52.38,ABCL,Canada,pharmaceuticals
2022-02-24,0.19,0.19,0.62,ABCL,Canada,pharmaceuticals
2022-05-10,0.38,0.54,40.57,ABCL,Canada,pharmaceuticals
2022-08-09,-0.02,-0.02,-28.45,ABCL,Canada,pharmaceuticals
2022-11-08,0.05,0.08,76.1,ABCL,Canada,pharmaceuticals
2023-02-21,-0.01,-0.1,-1804.76,ABCL,Canada,pharmaceuticals
2023-05-04,-0.14,-0.14,-3.16,ABCL,Canada,pharmaceuticals
2023-08-03,-0.13,-0.11,15.38,ABCL,Canada,pharmaceuticals
2023-11-06,-0.13,,,ABCL,Canada,pharmaceuticals
2024-02-19,,,,ABCL,Canada,pharmaceuticals
2024-05-02,,,,ABCL,Canada,pharmaceuticals
2024-08-01,,,,ABCL,Canada,pharmaceuticals
2002-04-25,0.32,0.33,1.85,ABG,USA,retail
2002-07-25,0.38,0.4,5.26,ABG,USA,retail
2002-10-30,0.49,0.46,-6.12,ABG,USA,retail
2003-02-27,0.2,0.18,-8.16,ABG,USA,retail
2003-04-30,0.2,0.21,2.94,ABG,USA,retail
2003-07-31,0.4,0.44,10.0,ABG,USA,retail
2003-10-30,0.52,0.53,2.91,ABG,USA,retail
2004-02-25,0.34,0.34,-0.97,ABG,USA,retail
2004-04-13,0.28,0.33,17.86,ABG,USA,retail
2004-07-29,0.47,0.47,-0.53,ABG,USA,retail
2004-10-28,0.4,0.4,0.0,ABG,USA,retail
2005-02-24,0.42,0.42,0.0,ABG,USA,retail
2005-04-26,0.37,0.36,-2.04,ABG,USA,retail
2005-07-28,0.51,0.54,6.4,ABG,USA,retail
2005-10-26,0.48,0.54,13.45,ABG,USA,retail
2006-02-24,0.32,0.37,15.62,ABG,USA,retail
2006-04-27,0.36,0.41,14.42,ABG,USA,retail
2006-07-27,0.54,0.54,0.31,ABG,USA,retail
2006-10-26,0.55,0.57,2.93,ABG,USA,retail
2007-02-15,0.38,0.42,11.26,ABG,USA,retail
2007-04-25,0.42,0.45,6.51,ABG,USA,retail
2007-07-26,0.64,0.66,2.72,ABG,USA,retail
2007-10-30,0.63,0.58,-7.94,ABG,USA,retail
2008-02-21,0.43,0.39,-8.5,ABG,USA,retail
2008-04-24,0.38,0.35,-6.98,ABG,USA,retail
2008-07-30,0.46,0.39,-14.42,ABG,USA,retail
2008-10-30,0.26,0.25,-3.85,ABG,USA,retail
2009-03-16,-0.04,-0.08,-118.16,ABG,USA,retail
2009-04-29,-0.01,0.07,940.34,ABG,USA,retail
